ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
South_Marianas,SARIGAN,284192,16.708,145.78,,,,, ,,"Carn et al., 2017",10.1038/srep44095,0.5,,0.4,,,,,1.2,0.8,,,,,,,,
South_Marianas,ANATAHAN,284200,16.35,145.67,,,,487.3,253.4,SB,"Carn et al., 2017",10.1038/srep44095,2324,,1917.3,,,1.2,0.5,,,,402.0,,402.0,269.5,,,
Kyushu,ASO,282110,32.884,131.104,229.22,224,167,229.2,258.4,SB,"Carn et al., 2017","10.1038/srep44095, https://www.data.jma.go.jp/svd/vois/data/fukuoka/rovdm/Asosan_rovdm/gas/gas.html",10,12.4,8.3,1.8,0.5,,,1.2,0.8,283.7,,,283.7,170.3,,,
Kyushu,KIRISHIMA,282090,31.934,130.862,,32,84,32.0,9.6,GB,Mori and Kato 2013,,35,192.5,28.9,8,,,,1.2,0.8,176.0,,,176.0,52.8,,,
Kyushu,SAKURA-JIMA,,,,,505,225,385.4,200.4,SB,"Carn et al., 2017","10.1038/srep44095, Mori et al. (2013), JMA1",,,,0.9,0.3,,,,,238.5,,,238.5,148.6,,,
Kyushu,KIKAI (Satsuma-Iwojima),282060,30.793,130.305,213.525,220,114,213.5,240.7,SB,"Carn et al., 2017","10.1038/srep44095, Mori et al. (2013)、https://www.data.jma.go.jp/svd/vois/data/tokyo/STOCK/kaisetsu/CCPVE/shiryo/142/142_06-5.pdf",,,,,,,,1.2,0.8,,,176.2,176.2,149.9,,,
Kyushu,KUCHINOERABU-JIMA,282050,30.443,130.217,,32,75,32.0,9.6,GB,"Mori et al., 2013, 2017",,4,,3.3,1,,,,1.2,0.8,22.0,,,22.0,6.6,,,
Kyushu,NAKANO-SHIMA,282040,29.859,129.857,,15,0,15.0,4.5,GB,"Mori et al., 2017",,,,,,,,,1.2,0.8,,,12.4,12.4,9.0,,,
Kyushu,SUWANOSE-JIMA,282030,29.638,129.714,,240,20,315.0,163.8,SB,"Carn et al., 2017","10.1038/srep44095, Mori et al. (2013)",,,,1,0.3,,,,,216.6,,,216.6,131.2,,,
South_Philippines,MAYON,273030,13.257,123.685,,94,15,165.3,86.0,SB,"Carn et al., 2017",10.1038/srep44095,,,,2.4,0.7,,,,,272.8,,,272.8,164.1,,,
South_Philippines,BULUSAN,273010,12.769,124.056,,,,75.2,39.1,SB,"Carn et al., 2017",10.1038/srep44095,4.7,,3.9,,,1.2,0.5,,,,62.0,,62.0,42.3,,,
South_Philippines,KANLAON,272020,10.412,123.132,,,,25.6,13.3,GB,"Carn et al., 2017",10.1038/srep44095,1,,0.8,,,1.2,0.5,,,,21.1,,21.1,15.5,,,
New_Britain,LANGILA,252010,-5.525,148.42,,,,229.6,119.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.3,0.7,,,,363.0,,363.0,221.5,,,
New_Britain,ULAWUN,252120,-5.05,151.33,,,,230.0,119.6,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.4,0.7,,,,379.4,,379.4,229.1,,,
New_Britain,RABAUL/Tavurvur,252140,-4.271,152.203,,26,,631.1,328.2,SB,"Carn et al., 2017",10.1038/srep44095,331,,591.7,,,2.6,0.7,,,,1128.1,,1128.1,666.3,,,
New_Britain,GARBUNA_GROUP,252070,-5.416,150.027,,,,,,,"Carn et al., 2017",10.1038/srep44095,1,,1.7,,,,,2.4,0.8,,,,,,,,
Solomon,BAGANA,255020,-6.137,155.196,,,,1379.3,717.3,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.4,0.7,,,,2275.9,,2275.9,1364.8,,,
North_Vanuatu,TINAKULA,256010,-10.386,165.804,,,,93.4,48.6,SB,"Carn et al., 2017",10.1038/srep44095,42,,60.6,,,2.1,0.7,,,,134.9,,134.9,85.1,,,
North_Vanuatu,GAUA,257020,-14.27,167.5,,,,158.4,82.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.5,0.7,,,,272.3,,272.3,172.3,,,
North_Vanuatu,AOBA,,,,1047.55,,,1047.6,1180.7,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.5,0.7,,,,1800.5,,1800.5,1072.4,,,
North_Vanuatu,AMBRYM,257040,-16.25,168.12,2684.94,,,2684.9,3026.3,SB,"Carn et al., 2017, Werner et al., 2019",10.1038/srep44095,20,34.4,,2.5,0.4,,,,,4614.7,,,4614.7,2527.6,,,
North_Vanuatu,LOPEVI,257050,-16.507,168.346,,,,,,,"Carn et al., 2017",10.1038/srep44095,12,379.5,,46,,,,,,,,,,,,,
South_Vanuatu,YASUR(TANNA),257100,-19.532,169.447,,,,513.9,267.2,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.6,0.4,,,,,565.3,,,565.3,328.8,,,
Tonga,HOME_REEF,243080,-18.992,-174.775,,,,, ,,"Carn et al., 2017",10.1038/srep44095,25,,20.6,,,,,1.2,0.8,,,,,,,,
Tonga,TOFUA,243060,-19.75,-175.07,103.66,,,103.7,116.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,1.2,0.5,,,,85.5,,85.5,57.7,,,
